,,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025
San Mateo Total,,233,205,162,87.98%,69.53%,"21,306","19,131","15,996",89.79%,75.08%,"20,219","18,178","15,238",89.91%,75.36%,"19,400","17,417","14,558",89.78%,75.04%,"5,650","5,216","4,579",92.32%,81.04%
,Delayed Interaction (Internet Based),,,,,,992,884,723,89.11%,72.88%,971,867,707,89.29%,72.81%,890,800,656,89.89%,73.71%,324,289,229,89.20%,70.68%
,Non Distance Education Methods,233,205,162,87.98%,69.53%,"20,314","18,247","15,273",89.82%,75.18%,"19,248","17,311","14,531",89.94%,75.49%,"18,510","16,617","13,902",89.77%,75.11%,"5,326","4,927","4,350",92.51%,81.67%
Santa Ana Total,,30,26,23,86.67%,76.67%,"55,170","49,161","42,170",89.11%,76.44%,"55,140","49,135","42,147",89.11%,76.44%,"42,310","36,692","30,228",86.72%,71.44%,"27,020","25,193","22,876",93.24%,84.66%
,Delayed Interaction (Internet Based),,,,,,"23,801","20,363","16,792",85.56%,70.55%,"23,801","20,363","16,792",85.56%,70.55%,"23,169","19,807","16,285",85.49%,70.29%,"8,978","7,802","6,601",86.90%,73.52%
,Non Distance Education Methods,30,26,23,86.67%,76.67%,"29,358","27,081","23,914",92.24%,81.46%,"29,328","27,055","23,891",92.25%,81.46%,"17,603","15,590","12,858",88.56%,73.04%,"16,491","16,033","15,082",97.22%,91.46%
,Two-way interactive video and audio,,,,,,"2,011","1,717","1,464",85.38%,72.80%,"2,011","1,717","1,464",85.38%,72.80%,"1,538","1,295","1,085",84.20%,70.55%,"1,551","1,358","1,193",87.56%,76.92%
Santa Barbara Total,,458,414,266,90.39%,58.08%,"34,940","32,448","25,765",92.87%,73.74%,"34,482","32,034","25,499",92.90%,73.95%,"31,354","29,081","23,012",92.75%,73.39%,"9,738","9,144","7,609",93.90%,78.14%
,Delayed Interaction (Internet Based),,,,,,"16,657","15,242","11,664",91.51%,70.02%,"16,657","15,242","11,664",91.51%,70.02%,"15,436","14,119","10,797",91.47%,69.95%,"5,239","4,842","3,891",92.42%,74.27%
,Non Distance Education Methods,458,414,266,90.39%,58.08%,"18,283","17,206","14,101",94.11%,77.13%,"17,825","16,792","13,835",94.20%,77.62%,"15,918","14,962","12,215",93.99%,76.74%,"4,499","4,302","3,718",95.62%,82.64%
Santa Monica Total,,299,263,203,87.96%,67.89%,"63,135","57,665","47,102",91.34%,74.61%,"62,623","57,236","46,772",91.40%,74.69%,"58,534","53,600","44,103",91.57%,75.35%,"16,774","15,523","13,048",92.54%,77.79%
,Delayed Interaction (Internet Based),71,60,41,84.51%,57.75%,"30,435","27,822","23,028",91.41%,75.66%,"30,320","27,719","22,949",91.42%,75.69%,"29,330","26,854","22,273",91.56%,75.94%,"9,306","8,467","7,063",90.98%,75.90%
,Non Distance Education Methods,228,203,162,89.04%,71.05%,"32,700","29,843","24,074",91.26%,73.62%,"32,303","29,517","23,823",91.38%,73.75%,"29,204","26,746","21,830",91.58%,74.75%,"7,468","7,056","5,985",94.48%,80.14%
Santa Rosa Total,,95,89,82,93.68%,86.32%,"48,306","43,575","37,457",90.21%,77.54%,"46,568","41,986","36,009",90.16%,77.33%,"41,837","37,694","32,223",90.10%,77.02%,"15,395","13,982","12,215",90.82%,79.34%
,Delayed Interaction (Internet Based),16,15,13,93.75%,81.25%,"18,413","16,520","14,099",89.72%,76.57%,"18,277","16,408","14,022",89.77%,76.72%,"17,429","15,668","13,386",89.90%,76.80%,"5,638","4,904","4,143",86.98%,73.48%
,Non Distance Education Methods,68,64,61,94.12%,89.71%,"28,332","25,663","22,138",90.58%,78.14%,"26,758","24,213","20,789",90.49%,77.69%,"22,970","20,748","17,710",90.33%,77.10%,"9,190","8,572","7,642",93.28%,83.16%
,Simultaneous Interaction (Internet Based),11,10,8,90.91%,72.73%,"1,561","1,392","1,220",89.17%,78.16%,"1,533","1,365","1,198",89.04%,78.15%,"1,438","1,278","1,127",88.87%,78.37%,567,506,430,89.24%,75.84%
Santiago Canyon Total,,54,45,36,83.33%,66.67%,"22,899","20,102","17,148",87.79%,74.89%,"22,843","20,055","17,110",87.79%,74.90%,"18,363","15,613","12,723",85.02%,69.29%,"7,950","7,496","6,891",94.29%,86.68%
,Delayed Interaction (Internet Based),54,45,36,83.33%,66.67%,"11,343","9,606","7,808",84.69%,68.84%,"11,287","9,559","7,770",84.69%,68.84%,"11,091","9,389","7,638",84.65%,68.87%,"2,958","2,610","2,164",88.24%,73.16%
,Non Distance Education Methods,,,,,,"11,174","10,201","9,134",91.29%,81.74%,"11,174","10,201","9,134",91.29%,81.74%,"6,890","5,929","4,879",86.05%,70.81%,"4,841","4,775","4,653",98.64%,96.12%
,Two-way interactive video and audio,,,,,,382,295,206,77.23%,53.93%,382,295,206,77.23%,53.93%,382,295,206,77.23%,53.93%,151,111,74,73.51%,49.01%
Sequoias Total,,"1,378","1,161",761,84.25%,55.22%,"42,655","38,845","32,306",91.07%,75.74%,"41,014","37,443","31,352",91.29%,76.44%,"37,676","34,358","28,561",91.19%,75.81%,"11,654","10,777","9,508",92.47%,81.59%
,Delayed Interaction (Internet Based),441,379,256,85.94%,58.05%,"11,205","10,070","8,342",89.87%,74.45%,"10,685","9,621","8,041",90.04%,75.26%,"9,888","8,929","7,446",90.30%,75.30%,"2,838","2,505","2,124",88.27%,74.84%
,Non Distance Education Methods,936,781,505,83.44%,53.95%,"31,280","28,624","23,860",91.51%,76.28%,"30,160","27,672","23,207",91.75%,76.95%,"27,662","25,312","21,039",91.50%,76.06%,"8,747","8,217","7,340",93.94%,83.91%
,Simultaneous Interaction (Internet Based),1,1,0,100.00%,0.00%,170,151,104,88.82%,61.18%,169,150,104,88.76%,61.54%,126,117,76,92.86%,60.32%,69,55,44,79.71%,63.77%
Shasta Total,,20,20,16,100.00%,80.00%,"25,055","23,066","19,494",92.06%,77.80%,"25,035","23,046","19,478",92.06%,77.80%,"22,469","20,561","17,188",91.51%,76.50%,"10,523","9,929","8,580",94.36%,81.54%
,Delayed Interaction (Internet Based),,,,,,"14,875","13,661","11,303",91.84%,75.99%,"14,875","13,661","11,303",91.84%,75.99%,"13,811","12,643","10,403",91.54%,75.32%,"6,981","6,532","5,459",93.57%,78.20%
,Non Distance Education Methods,20,20,16,100.00%,80.00%,"9,629","8,874","7,703",92.16%,80.00%,"9,609","8,854","7,687",92.14%,80.00%,"8,457","7,734","6,642",91.45%,78.54%,"3,124","2,991","2,730",95.74%,87.39%
,Simultaneous Interaction (Internet Based),,,,,,551,531,488,96.37%,88.57%,551,531,488,96.37%,88.57%,201,184,143,91.54%,71.14%,418,406,391,97.13%,93.54%
Sierra Total,,236,213,193,90.25%,81.78%,"53,080","48,508","42,487",91.39%,80.04%,"52,398","47,917","41,954",91.45%,80.07%,"50,786","46,406","40,610",91.38%,79.96%,"14,623","13,527","12,056",92.50%,82.45%
,Delayed Interaction (Internet Based),109,104,93,95.41%,85.32%,"28,741","26,243","23,090",91.31%,80.34%,"28,562","26,072","22,931",91.28%,80.28%,"28,325","25,860","22,738",91.30%,80.28%,"8,536","7,772","6,894",91.05%,80.76%
,Non Distance Education Methods,127,109,100,85.83%,78.74%,"24,134","22,084","19,240",91.51%,79.72%,"23,631","21,664","18,866",91.68%,79.84%,"22,256","20,365","17,715",91.50%,79.60%,"5,998","5,672","5,088",94.56%,84.83%
,Simultaneous Interaction (Internet Based),,,,,,205,181,157,88.29%,76.59%,205,181,157,88.29%,76.59%,205,181,157,88.29%,76.59%,89,83,74,93.26%,83.15%
Siskiyous Total,,28,22,15,78.57%,53.57%,"3,901","3,617","3,157",92.72%,80.93%,"3,564","3,288","2,843",92.26%,79.77%,"2,834","2,608","2,266",92.03%,79.96%,"1,193","1,111","1,006",93.13%,84.33%
,Delayed Interaction (Internet Based),28,22,15,78.57%,53.57%,"2,160","1,968","1,645",91.11%,76.16%,"2,124","1,938","1,625",91.24%,76.51%,"1,762","1,607","1,363",91.20%,77.36%,641,575,495,89.70%,77.22%
,Non Distance Education Methods,,,,,,"1,711","1,623","1,489",94.86%,87.03%,"1,410","1,324","1,195",93.90%,84.75%,"1,051",982,887,93.43%,84.40%,552,536,511,97.10%,92.57%
,Simultaneous Interaction (Internet Based),,,,,,30,26,23,86.67%,76.67%,30,26,23,86.67%,76.67%,21,19,16,90.48%,76.19%,,,,,
Skyline Total,,308,263,188,85.39%,61.04%,"20,242","18,598","15,935",91.88%,78.72%,"19,829","18,237","15,663",91.97%,78.99%,"18,603","17,063","14,560",91.72%,78.27%,"4,986","4,629","4,073",92.84%,81.69%
,Delayed Interaction (Internet Based),4,4,4,100.00%,100.00%,"4,397","3,963","3,352",90.13%,76.23%,"4,393","3,959","3,348",90.12%,76.21%,"4,242","3,827","3,224",90.22%,76.00%,"1,085",966,835,89.03%,76.96%
,Non Distance Education Methods,304,259,184,85.20%,60.53%,"15,845","14,635","12,583",92.36%,79.41%,"15,436","14,278","12,315",92.50%,79.78%,"14,361","13,236","11,336",92.17%,78.94%,"3,901","3,663","3,238",93.90%,83.00%
Solano Total,,135,119,103,88.15%,76.30%,"23,175","20,447","17,761",88.23%,76.64%,"22,840","20,147","17,496",88.21%,76.60%,"21,353","18,827","16,362",88.17%,76.63%,"7,956","7,065","6,196",88.80%,77.88%
,Delayed Interaction (Internet Based),,,,,,"10,266","8,929","7,766",86.98%,75.65%,"10,252","8,920","7,761",87.01%,75.70%,"9,721","8,482","7,391",87.25%,76.03%,"3,854","3,320","2,913",86.14%,75.58%
,Non Distance Education Methods,135,119,103,88.15%,76.30%,"12,336","10,959","9,489",88.84%,76.92%,"12,015","10,668","9,229",88.79%,76.81%,"11,059","9,786","8,465",88.49%,76.54%,"4,004","3,655","3,199",91.28%,79.90%
,Simultaneous Interaction (Internet Based),,,,,,179,172,163,96.09%,91.06%,179,172,163,96.09%,91.06%,179,172,163,96.09%,91.06%,55,54,49,98.18%,89.09%
,"Text one-way (e.g. newspaper, correspondence, etc.)",,,,,,394,387,343,98.22%,87.06%,394,387,343,98.22%,87.06%,394,387,343,98.22%,87.06%,43,36,35,83.72%,81.40%
Southwestern Total,,"1,791","1,462","1,109",81.63%,61.92%,"59,987","52,250","43,116",87.10%,71.88%,"57,640","50,314","41,610",87.29%,72.19%,"57,022","49,730","41,069",87.21%,72.02%,"15,710","13,797","11,844",87.82%,75.39%
,Delayed Interaction (Internet Based),315,261,215,82.86%,68.25%,"25,165","21,323","17,159",84.73%,68.19%,"24,580","20,861","16,800",84.87%,68.35%,"24,474","20,763","16,716",84.84%,68.30%,"8,454","7,033","5,768",83.19%,68.23%
,Non Distance Education Methods,"1,476","1,201",894,81.37%,60.57%,"34,822","30,927","25,957",88.81%,74.54%,"33,060","29,453","24,810",89.09%,75.05%,"32,548","28,967","24,353",89.00%,74.82%,"7,256","6,764","6,076",93.22%,83.74%
Taft Total,,,,,,,"11,087","10,634","8,927",95.91%,80.52%,"11,035","10,583","8,891",95.90%,80.57%,"7,574","7,129","5,455",94.12%,72.02%,"4,967","4,893","4,547",98.51%,91.54%
,Delayed Interaction (Internet Based),,,,,,"4,801","4,480","3,267",93.31%,68.05%,"4,796","4,475","3,263",93.31%,68.04%,"4,728","4,413","3,216",93.34%,68.02%,"1,044",981,717,93.97%,68.68%
,Non Distance Education Methods,,,,,,"6,286","6,154","5,660",97.90%,90.04%,"6,239","6,108","5,628",97.90%,90.21%,"2,846","2,716","2,239",95.43%,78.67%,"3,923","3,912","3,830",99.72%,97.63%
Ventura Total,,353,300,229,84.99%,64.87%,"30,056","27,104","23,125",90.18%,76.94%,"29,396","26,537","22,688",90.27%,77.18%,"24,988","22,628","19,367",90.56%,77.51%,"6,913","6,201","5,494",89.70%,79.47%
,Delayed Interaction (Internet Based),224,183,134,81.70%,59.82%,"21,330","19,074","16,038",89.42%,75.19%,"21,003","18,806","15,848",89.54%,75.46%,"18,403","16,519","13,972",89.76%,75.92%,"5,344","4,766","4,156",89.18%,77.77%
,Non Distance Education Methods,129,117,95,90.70%,73.64%,"8,523","7,843","6,914",92.02%,81.12%,"8,304","7,649","6,771",92.11%,81.54%,"6,531","6,060","5,351",92.79%,81.93%,"1,455","1,330","1,234",91.41%,84.81%
,Simultaneous Interaction (Internet Based),,,,,,203,187,173,92.12%,85.22%,89,82,69,92.13%,77.53%,54,49,44,90.74%,81.48%,114,105,104,92.11%,91.23%
Victor Valley Total,,8,8,4,100.00%,50.00%,"43,515","38,028","29,823",87.39%,68.53%,"43,353","37,887","29,715",87.39%,68.54%,"39,024","34,129","26,684",87.46%,68.38%,"10,362","9,066","7,173",87.49%,69.22%
,Delayed Interaction (Internet Based),8,8,4,100.00%,50.00%,"22,442","19,105","14,090",85.13%,62.78%,"22,416","19,082","14,084",85.13%,62.83%,"21,273","18,196","13,491",85.54%,63.42%,"4,531","3,753","2,632",82.83%,58.09%
,Non Distance Education Methods,,,,,,"20,517","18,420","15,370",89.78%,74.91%,"20,381","18,302","15,268",89.80%,74.91%,"17,195","15,430","12,830",89.74%,74.61%,"5,745","5,237","4,479",91.16%,77.96%
,"Text one-way (e.g. newspaper, correspondence, etc.)",,,,,,556,503,363,90.47%,65.29%,556,503,363,90.47%,65.29%,556,503,363,90.47%,65.29%,86,76,62,88.37%,72.09%
West LA Total,,,,,,,"18,560","16,546","13,850",89.15%,74.62%,"18,560","16,546","13,850",89.15%,74.62%,"16,404","14,464","11,921",88.17%,72.67%,"8,373","7,663","6,722",91.52%,80.28%
,Delayed Interaction (Internet Based),,,,,,"11,096","9,700","7,722",87.42%,69.59%,"11,096","9,700","7,722",87.42%,69.59%,"10,199","8,837","6,959",86.65%,68.23%,"4,545","3,977","3,249",87.50%,71.49%
,Non Distance Education Methods,,,,,,"6,249","5,770","5,192",92.33%,83.09%,"6,249","5,770","5,192",92.33%,83.09%,"5,409","4,947","4,401",91.46%,81.36%,"3,116","3,019","2,856",96.89%,91.66%
,Simultaneous Interaction (Internet Based),,,,,,"1,215","1,076",936,88.56%,77.04%,"1,215","1,076",936,88.56%,77.04%,796,680,561,85.43%,70.48%,712,667,617,93.68%,86.66%
West Valley Total,,157,130,117,82.80%,74.52%,"21,060","18,393","16,052",87.34%,76.22%,"20,782","18,165","15,854",87.41%,76.29%,"20,658","18,058","15,757",87.41%,76.28%,"5,898","5,223","4,658",88.56%,78.98%
,Delayed Interaction (Internet Based),,,,,,"9,112","7,928","6,962",87.01%,76.40%,"9,112","7,928","6,962",87.01%,76.40%,"9,031","7,860","6,902",87.03%,76.43%,"2,760","2,415","2,155",87.50%,78.08%
,Non Distance Education Methods,157,130,117,82.80%,74.52%,"10,878","9,522","8,285",87.53%,76.16%,"10,600","9,294","8,087",87.68%,76.29%,"10,557","9,255","8,050",87.67%,76.25%,"2,488","2,235","1,997",89.83%,80.27%
,Simultaneous Interaction (Internet Based),,,,,,"1,070",943,805,88.13%,75.23%,"1,070",943,805,88.13%,75.23%,"1,070",943,805,88.13%,75.23%,650,573,506,88.15%,77.85%
Woodland Total,,10,8,7,80.00%,70.00%,"8,963","7,964","6,678",88.85%,74.51%,"8,953","7,956","6,671",88.86%,74.51%,"8,400","7,469","6,277",88.92%,74.73%,"3,097","2,764","2,287",89.25%,73.85%
,Delayed Interaction (Internet Based),,,,,,"4,951","4,381","3,682",88.49%,74.37%,"4,951","4,381","3,682",88.49%,74.37%,"4,675","4,138","3,491",88.51%,74.67%,"1,864","1,650","1,363",88.52%,73.12%
,Non Distance Education Methods,10,8,7,80.00%,70.00%,"3,702","3,318","2,763",89.63%,74.64%,"3,692","3,310","2,756",89.65%,74.65%,"3,449","3,088","2,565",89.53%,74.37%,990,911,751,92.02%,75.86%
,Two-way interactive video and audio,,,,,,310,265,233,85.48%,75.16%,310,265,233,85.48%,75.16%,276,243,221,88.04%,80.07%,243,203,173,83.54%,71.19%
Yuba Total,,33,29,21,87.88%,63.64%,"13,801","12,483","10,859",90.45%,78.68%,"13,585","12,274","10,658",90.35%,78.45%,"12,606","11,343","9,845",89.98%,78.10%,"4,822","4,425","3,940",91.77%,81.71%
,Delayed Interaction (Internet Based),,,,,,"7,311","6,530","5,541",89.32%,75.79%,"7,311","6,530","5,541",89.32%,75.79%,"7,108","6,338","5,384",89.17%,75.75%,"2,314","2,076","1,785",89.71%,77.14%
,Non Distance Education Methods,33,29,21,87.88%,63.64%,"6,071","5,560","4,949",91.58%,81.52%,"5,873","5,369","4,766",91.42%,81.15%,"5,128","4,661","4,141",90.89%,80.75%,"2,399","2,242","2,050",93.46%,85.45%
,Two-way interactive video and audio,,,,,,419,393,369,93.79%,88.07%,401,375,351,93.52%,87.53%,370,344,320,92.97%,86.49%,109,107,105,98.17%,96.33%
